ID,ARCHIVO,CATEGORÍA,SUBCATEGORÍA,TEMA,TEXTO,DIMENSIONES,TRANSPARENCIA,ORIGINAL_BASE,VARIANTE
01-funcionales-003-sand-03,output\stickers\01-funcionales\01-circulo-vacio-sand-03.png,FUNCIONALES,texto,sand,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,sand
01-funcionales-003-neutral-03,output\stickers\01-funcionales\01-circulo-vacio-neutral-03.png,FUNCIONALES,texto,neutral,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,neutral
01-funcionales-003-multicolor-03,output\stickers\01-funcionales\01-circulo-vacio-multicolor-03.png,FUNCIONALES,texto,multicolor,círculo vacío,900x450,RGBA,01-funcionales-003-estilo-03,multicolor
01-funcionales-004-lavender-01,output\stickers\01-funcionales\01-circulo-marcado-lavender-01.png,FUNCIONALES,texto,lavender,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,lavender
01-funcionales-004-blush-01,output\stickers\01-funcionales\01-circulo-marcado-blush-01.png,FUNCIONALES,texto,blush,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,blush
01-funcionales-004-sage-01,output\stickers\01-funcionales\01-circulo-marcado-sage-01.png,FUNCIONALES,texto,sage,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,sage
01-funcionales-004-sky-01,output\stickers\01-funcionales\01-circulo-marcado-sky-01.png,FUNCIONALES,texto,sky,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,sky
01-funcionales-004-sand-01,output\stickers\01-funcionales\01-circulo-marcado-sand-01.png,FUNCIONALES,texto,sand,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,sand
01-funcionales-004-neutral-01,output\stickers\01-funcionales\01-circulo-marcado-neutral-01.png,FUNCIONALES,texto,neutral,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,neutral
01-funcionales-004-multicolor-01,output\stickers\01-funcionales\01-circulo-marcado-multicolor-01.png,FUNCIONALES,texto,multicolor,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-01,multicolor
01-funcionales-004-lavender-02,output\stickers\01-funcionales\01-circulo-marcado-lavender-02.png,FUNCIONALES,texto,lavender,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,lavender
